method,split,top_k,original_id,question_type,difficulty,question,gold_answer,retrieved_count,linked_doc_count_topk,support_title_count,retrieved_support_title_count,support_title_coverage,support_present_in_topk,missing_support_titles,retrieved_support_ranks,max_retrieved_support_rank,answer_present_in_returned_docs,top_titles,top_paths
link_bridge_a0p70_p0p00,train,5,5a70eee85542994082a3e3f0,bridge,hard,"Which group of people in West Africa with significant populations in Ghana, Ivory Coast, Liberia and Sierra Leone use the Ida?",The Yoruba,5,0,2,0,0.0,0,ida (sword) || yoruba people,,,0,Operational Service Medal for Sierra Leone || Southern Sierra Miwok || Leone Frollo || List of companies of Swaziland || Harbaville Triptych,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,train,10,5a70eee85542994082a3e3f0,bridge,hard,"Which group of people in West Africa with significant populations in Ghana, Ivory Coast, Liberia and Sierra Leone use the Ida?",The Yoruba,10,0,2,0,0.0,0,ida (sword) || yoruba people,,,0,Operational Service Medal for Sierra Leone || Southern Sierra Miwok || Leone Frollo || List of companies of Swaziland || Harbaville Triptych,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,train,5,5a70f0a75542994082a3e403,bridge,hard,"Which dialect spoken in the province of Scania calls Spettekaka, ""spiddekaga""?",Scanian dialects,5,0,2,0,0.0,0,scanian dialect || spettekaka,,,0,Yamphu language || Baghdad Arabic || Borstahusen || Boa Vista Creole || Backspread,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,train,10,5a70f0a75542994082a3e403,bridge,hard,"Which dialect spoken in the province of Scania calls Spettekaka, ""spiddekaga""?",Scanian dialects,10,0,2,0,0.0,0,scanian dialect || spettekaka,,,0,Yamphu language || Baghdad Arabic || Borstahusen || Boa Vista Creole || Backspread,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,train,5,5a70f11a5542994082a3e40b,comparison,hard,"Which dog breed, the Schapendoes or the Bull Terrier, has its origins in a greater number of other dog breeds?",Bull Terrier,5,0,2,0,0.0,0,bull terrier (miniature) || schapendoes,,,0,Half-Breeds on Venus || Basset Bleu de Gascogne || Pauline Bull || Dog Jam || Martyr's Memorial A-Division League,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,train,10,5a70f11a5542994082a3e40b,comparison,hard,"Which dog breed, the Schapendoes or the Bull Terrier, has its origins in a greater number of other dog breeds?",Bull Terrier,10,0,2,0,0.0,0,bull terrier (miniature) || schapendoes,,,0,Half-Breeds on Venus || Basset Bleu de Gascogne || Pauline Bull || Dog Jam || Martyr's Memorial A-Division League,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,train,5,5a70f1685542994082a3e40f,bridge,hard,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries? ,Symphony No. 7,5,0,2,0,0.0,0,symphony no. 7 (beethoven) || violin sonata no. 5 (beethoven),,,0,Otto von Botenlauben || Christian Detlev Reventlow || Ludwig Gotthard Kosegarten || Jaroš Griemiller || Ludwig Donath,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,train,10,5a70f1685542994082a3e40f,bridge,hard,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries? ,Symphony No. 7,10,0,2,0,0.0,0,symphony no. 7 (beethoven) || violin sonata no. 5 (beethoven),,,0,Otto von Botenlauben || Christian Detlev Reventlow || Ludwig Gotthard Kosegarten || Jaroš Griemiller || Ludwig Donath,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,train,5,5a70f4c45542994082a3e437,bridge,hard,"Which Italian-American composer and librettist wrote the English language opera, Maria Golovin?",Gian Carlo Menotti,5,0,2,0,0.0,0,gian carlo menotti || maria golovin,,,0,The Indian Picture Opera || Jazz Is My Native Language || Flight (opera) || I Medici || The Kiss (Hayez),firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,train,10,5a70f4c45542994082a3e437,bridge,hard,"Which Italian-American composer and librettist wrote the English language opera, Maria Golovin?",Gian Carlo Menotti,10,0,2,0,0.0,0,gian carlo menotti || maria golovin,,,0,The Indian Picture Opera || Jazz Is My Native Language || Flight (opera) || I Medici || The Kiss (Hayez),firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,5,5a70f0e75542994082a3e408,comparison,hard,"Which of these universities, Northwestern University or Johns Hopkins University, have a campus outside of the United States territories?","with other campuses located in Chicago and Doha, Qatar",5,0,2,0,0.0,0,johns hopkins university || northwestern university,,,0,"Mahachulalongkornrajavidyalaya University || McAdoo, Texas || University of the Philippines College of Science || The Weak and the Wicked || Ramkhamhaeng University",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,10,5a70f0e75542994082a3e408,comparison,hard,"Which of these universities, Northwestern University or Johns Hopkins University, have a campus outside of the United States territories?","with other campuses located in Chicago and Doha, Qatar",10,0,2,0,0.0,0,johns hopkins university || northwestern university,,,0,"Mahachulalongkornrajavidyalaya University || McAdoo, Texas || University of the Philippines College of Science || The Weak and the Wicked || Ramkhamhaeng University",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,5,5a70f39c5542994082a3e429,bridge,hard,What is the name of the independent candidate in Maine's 2010 gubernatorial race who finished ahead of Libby Mitchell?,Eliot Cutler,5,0,2,0,0.0,0,eliot cutler || libby mitchell,,,0,"Mitchell Map || Sonnee Cohen || Steep Falls, Maine || IROC XXX || John Mitchell (geographer)",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,10,5a70f39c5542994082a3e429,bridge,hard,What is the name of the independent candidate in Maine's 2010 gubernatorial race who finished ahead of Libby Mitchell?,Eliot Cutler,10,0,2,0,0.0,0,eliot cutler || libby mitchell,,,0,"Mitchell Map || Sonnee Cohen || Steep Falls, Maine || IROC XXX || John Mitchell (geographer)",firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,5,5a70f4695542994082a3e435,comparison,hard,"Which canal was built between 1836 and 1847, Washington City Canal or Whitewater Canal?",The Whitewater Canal,5,0,2,0,0.0,0,washington city canal || whitewater canal,,,0,Grosvenor Canal || London to Portsmouth canal || Kombanai Pudhur || 57th Street (Manhattan) || Welty McCullogh,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,10,5a70f4695542994082a3e435,comparison,hard,"Which canal was built between 1836 and 1847, Washington City Canal or Whitewater Canal?",The Whitewater Canal,10,0,2,0,0.0,0,washington city canal || whitewater canal,,,0,Grosvenor Canal || London to Portsmouth canal || Kombanai Pudhur || 57th Street (Manhattan) || Welty McCullogh,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
link_bridge_a0p70_p0p00,valid,5,5a7103b35542994082a3e4c0,comparison,hard,"Which mountain, Masherbrum or Khunyang Chhish, is a taller mountain?",Khunyang Chhish,5,0,2,0,0.0,0,khunyang chhish || masherbrum,,,0,Screamer Mountain || Spirit Mountain Casino || Ling Yen Mountain Temple || Rocky Mountain High School || Satah Mountain,firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25 || firsthop_bm25
