estimator,calibration,policy,tau_answer,case_type,sample_index,original_id,sufficiency_label,risk_score,decision,gold_answer,naive_answer,naive_em,naive_f1,top5_titles
logistic_regression,isotonic,balanced,0.5,successful_intercept,21,5ae471fa55429970de88d965,insufficient,0.8312405185608722,abstain,Centre-du-Québec,I don't know,0.0,0.0,Cuisine of New Jersey || Papa's Tomato Pies || Province of New Jersey || New York – New Jersey Line War || New Jersey Folk Festival
logistic_regression,isotonic,balanced,0.5,successful_intercept,28,5a8f9dca55429918e830d295,insufficient,0.6770895799408088,abstain,"Tyler ""Ty"" Mendoza",I don't know,0.0,0.0,Vanessa Marano || Switched at Birth (TV series) || Switched at Birth (season 4) || Starr Manning || List of Switched at Birth episodes
logistic_regression,isotonic,balanced,0.5,false_answer,11,5ade914b55429939a52fe8f9,insufficient,0.0392156862745098,answer,"""Discover Pure Energy""",I don't know,0.0,0.0,Manta (SeaWorld San Diego) || Top Thrill Dragster || The Riddler's Revenge || Tatsu || Green Lantern Coaster
logistic_regression,isotonic,balanced,0.5,false_answer,20,5a9023d355429916514e742f,insufficient,0.0392156862745098,answer,Prince Antoni Radziwiłł,I don't know,0.0,0.0,"Erna Flegel || Winter Palace of Prince Eugene || Hortus Palatinus || Musée des Arts décoratifs, Strasbourg || Médiathèque Musicale Mahler"
logistic_regression,isotonic,balanced,0.5,false_answer,17,5ae0361155429925eb1afc2c,insufficient,0.12244897959183673,answer,Charles Eugène,Charles Nungesser,0.0,0.5,L'Oiseau Blanc || François Coli || Levasseur PL.8 || Paul Sauvage (aviator) || Gervais Raoul Lufbery
logistic_regression,isotonic,balanced,0.5,false_answer,33,5abcd44655429959677d6af1,insufficient,0.12244897959183673,answer,The population was 753,I don't know,0.0,0.0,"Little Bay Bridge || Little Bay, Newfoundland and Labrador || Brentwood, New Hampshire || Little River (Vancouver Island) || Little River (Humboldt County)"
logistic_regression,isotonic,balanced,0.5,false_answer,13,5a7224ab55429971e9dc92dd,insufficient,0.375,answer,Patricia Jude Francis Kensit,I don't know,0.0,0.0,Eighth Wonder || Fearless (Eighth Wonder album) || Mark Lindsay || &quot;Weird Al&quot; Yankovic || Tom Petty
logistic_regression,isotonic,balanced,0.5,over_abstain,53,5abdc18555429965af743e2b,sufficient,0.75,abstain,Hertz,The Hertz Corporation,0.0,0.6666666666666666,Sixt || Enterprise Holdings || Payless Car Rental || The Hertz Corporation || Firefly (car rental)
logistic_regression,isotonic,balanced,0.5,over_abstain,97,5a8e27d45542995a26add46a,sufficient,0.75,abstain,2004,2004,1.0,1.0,Jaclyn Stapp || Steve Chapin || Creed (band) || Jimmy Farrar || Life Time (Rollins Band album)
logistic_regression,isotonic,balanced,0.5,safe_answer,1,5ab56e32554299637185c594,sufficient,0.0,answer,no,I don't know,0.0,0.0,Random House Tower || 888 7th Avenue || Bertelsmann Building || Carnegie Hall Tower || Metropolitan Life Insurance Company Tower
logistic_regression,isotonic,balanced,0.5,safe_answer,10,5a8aee3d55429950cd6afc01,sufficient,0.0,answer,Clianthus,Clianthus,1.0,1.0,Callicoma || Clianthus || Aceria clianthi || Hibiscus calyphyllus || Oeceoclades calcarata
logistic_regression,isotonic,balanced,0.5,safe_answer,34,5a83c9e45542992ef85e2361,sufficient,0.0,answer,political satire black comedy film,political satire black comedy film,1.0,1.0,Dr. Strangelove || Benn F. Reyes || Hawk Films || Red Alert (novel) || Slim Pickens
