split,original_id,question,gold_answer,base_label,oracle_label,base_missing_support_titles,injected_support_title_count,injected_support_titles,base_top_titles,oracle_top_titles
train,5a70eee85542994082a3e3f0,"Which group of people in West Africa with significant populations in Ghana, Ivory Coast, Liberia and Sierra Leone use the Ida?",The Yoruba,insufficient,sufficient,ida (sword) || yoruba people,2,ida (sword) || yoruba people,Pygmy hippopotamus || Geography of Guinea || Liptena bia || Euriphene leonis || Aerangis biloba,Ida (sword) || Yoruba people || Pygmy hippopotamus || Geography of Guinea || Liptena bia
train,5a70f0a75542994082a3e403,"Which dialect spoken in the province of Scania calls Spettekaka, ""spiddekaga""?",Scanian dialects,insufficient,sufficient,scanian dialect,1,scanian dialect,Spettekaka || Changting dialect || Hwanghae dialect || Maraghei dialect || Cremunés dialect,Spettekaka || Scanian dialect || Changting dialect || Hwanghae dialect || Maraghei dialect
train,5a70f11a5542994082a3e40b,"Which dog breed, the Schapendoes or the Bull Terrier, has its origins in a greater number of other dog breeds?",Bull Terrier,insufficient,sufficient,bull terrier (miniature) || schapendoes,2,bull terrier (miniature) || schapendoes,Rare breed (dog) || Bull Terrier || Airedale Terrier || Irish Bull Terrier || Bull and Terrier,Bull Terrier (Miniature) || Schapendoes || Rare breed (dog) || Bull Terrier || Airedale Terrier
train,5a70f1685542994082a3e40f,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries? ,Symphony No. 7,sufficient,sufficient,,0,,Symphony No. 7 (Beethoven) || Violin Sonata No. 5 (Beethoven) || Violin Sonata No. 4 (Beethoven) || Count Moritz von Fries || Symphony No. 1 (Beethoven),Symphony No. 7 (Beethoven) || Violin Sonata No. 5 (Beethoven) || Violin Sonata No. 4 (Beethoven) || Count Moritz von Fries || Symphony No. 1 (Beethoven)
train,5a70f4c45542994082a3e437,"Which Italian-American composer and librettist wrote the English language opera, Maria Golovin?",Gian Carlo Menotti,insufficient,sufficient,gian carlo menotti,1,gian carlo menotti,Maria Golovin || Giuseppe Maria Buini || Midnight Son (opera) || Mefistofele || Francesco Maria Piave,Maria Golovin || Gian Carlo Menotti || Giuseppe Maria Buini || Midnight Son (opera) || Mefistofele
train,5a70f6425542994082a3e44c,"Renamed in 2014, what was the vehicle offered as a prize to contestants on the first season of The Amazing Race Canada?",Chevrolet Corvette Stingrays,insufficient,sufficient,chevrolet corvette (c7) || the amazing race canada 1,2,chevrolet corvette (c7) || the amazing race canada 1,List of The Amazing Race Canada contestants || List of The Amazing Race Norge contestants || List of The Amazing Race Asia contestants || The Amazing Race Canada 4 || List of The Amazing Race (Latin America) contestants,Chevrolet Corvette (C7) || The Amazing Race Canada 1 || List of The Amazing Race Canada contestants || List of The Amazing Race Norge contestants || List of The Amazing Race Asia contestants
train,5a70f9335542994082a3e46a,"Which magazine is published more in a year, Essence or Alt for Damerne?",ALT for Damerne,insufficient,sufficient,essence (magazine),1,essence (magazine),Alt for Damerne || Lene Thiesen || Altüst || More (Belgian magazine) || Emmanuelle Alt,Alt for Damerne || Essence (magazine) || Lene Thiesen || Altüst || More (Belgian magazine)
train,5a70ff335542994082a3e49c,"Which Indian actress who earned filmfare award for Best female debut in ""Refugee"" acted in K3G movie?",Kareena Kapoor Khan,insufficient,sufficient,kabhi khushi kabhie gham... || kareena kapoor filmography,2,kabhi khushi kabhie gham... || kareena kapoor filmography,Filmfare Award for Best Female Debut – South || Filmfare Award for Best Female Debut || Filmfare Award for Best Actress || Filmfare Award for Best Male Debut – South || Filmfare Award for Best Supporting Actress,Kabhi Khushi Kabhie Gham... || Kareena Kapoor filmography || Filmfare Award for Best Female Debut – South || Filmfare Award for Best Female Debut || Filmfare Award for Best Actress
train,5a7100435542994082a3e4a3, Are Finding Kraftland and Shikashika both frozen drinks?,Shikashika is a shaved ice drink,sufficient,sufficient,,0,,Finding Kraftland || Shikashika || Zooper Dooper || Wei-Chuan Food Corporation || Dairy mix,Finding Kraftland || Shikashika || Zooper Dooper || Wei-Chuan Food Corporation || Dairy mix
train,5a7108fa5542994082a3e4ef,"Which battle, the Battle of Cold Harbor, or the Second Battle of Bull Run, was fought first?",Second Battle of Bull Run,insufficient,sufficient,battle of cold harbor,1,battle of cold harbor,"Second Bull Run Union order of battle || Second Bull Run Confederate order of battle || Second Battle of Bull Run || Cold Harbor, Virginia || Cold Harbor Confederate order of battle","Second Battle of Bull Run || Battle of Cold Harbor || Second Bull Run Union order of battle || Second Bull Run Confederate order of battle || Cold Harbor, Virginia"
