original_id,question,gold_answer,support_titles,support_title_count,original_rank_top5_sufficient,original_rank_top5_coverage,original_rank_top10_sufficient,original_rank_top10_coverage,original_rank_top20_sufficient,original_rank_top20_coverage,original_rank_top5_titles,rf_all_top5_sufficient,rf_all_top5_coverage,rf_all_top10_sufficient,rf_all_top10_coverage,rf_all_top20_sufficient,rf_all_top20_coverage,rf_all_top5_titles,gb_all_top5_sufficient,gb_all_top5_coverage,gb_all_top10_sufficient,gb_all_top10_coverage,gb_all_top20_sufficient,gb_all_top20_coverage,gb_all_top5_titles,lr_all_top5_sufficient,lr_all_top5_coverage,lr_all_top10_sufficient,lr_all_top10_coverage,lr_all_top20_sufficient,lr_all_top20_coverage,lr_all_top5_titles
5a71231a5542994082a3e5c4,"What edible, juicy fruit is grown on a deciduous tree called 'pesco' in Italian?",peach,peach || pesco,2,0,0.5,1,1.0,1,1.0,Peach || Deciduous || Tree || Kunlun Mountains || Native plant,1,1.0,1,1.0,1,1.0,Peach || Pesco || Apple || Sapindus mukorossi || Deciduous,1,1.0,1,1.0,1,1.0,Peach || Pesco || Deciduous || Tree || Apple,0,0.5,1,1.0,1,1.0,Peach || Deciduous || Tree || Prunus salicina || Apple
5a7125b95542994082a3e5d5,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville,"gardnerville, nevada || minden, nevada",2,1,1.0,1,1.0,1,1.0,"Gardnerville, Nevada || Minden, Nevada || Douglas County, Nevada || Nevada || Unincorporated towns in Nevada",1,1.0,1,1.0,1,1.0,"Minden, Nevada || Douglas County, Nevada || Gardnerville, Nevada || Unincorporated towns in Nevada || Minden",1,1.0,1,1.0,1,1.0,"Minden, Nevada || Gardnerville, Nevada || Douglas County, Nevada || Minden || Nevada",1,1.0,1,1.0,1,1.0,"Minden, Nevada || Gardnerville, Nevada || Douglas County, Nevada || Minden || Nevada"
5a7133565542994082a3e65c,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County,"lake louisvilla, louisville || oldham county, kentucky",2,1,1.0,1,1.0,1,1.0,"Lake Louisvilla, Louisville || Oldham County, Kentucky || Kentucky || Louisville, Kentucky || Park Lake, Kentucky",1,1.0,1,1.0,1,1.0,"Lake Louisvilla, Louisville || Oldham County, Kentucky || Louisville, Kentucky || Crestwood, Kentucky || Mason County, Kentucky",1,1.0,1,1.0,1,1.0,"Lake Louisvilla, Louisville || Oldham County, Kentucky || Kentucky || Louisville, Kentucky || Park Lake, Kentucky",1,1.0,1,1.0,1,1.0,"Lake Louisvilla, Louisville || Oldham County, Kentucky || Kentucky || Park Lake, Kentucky || Louisville, Kentucky"
5a7137dc5542994082a3e68a,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,kevin durant || nba rookie of the year award,2,1,1.0,1,1.0,1,1.0,1952–53 Fort Wayne Pistons season || NBA Rookie of the Year Award || Kevin Durant || 1952–53 NBA season || Bill Russell NBA Finals Most Valuable Player Award,1,1.0,1,1.0,1,1.0,NBA Rookie of the Year Award || 1952–53 NBA season || Kevin Durant || 1952–53 Fort Wayne Pistons season || NBA All-Star Game Most Valuable Player Award,1,1.0,1,1.0,1,1.0,NBA Rookie of the Year Award || 1952–53 Fort Wayne Pistons season || 1952–53 NBA season || Kevin Durant || NBA All-Star Game Most Valuable Player Award,1,1.0,1,1.0,1,1.0,NBA Rookie of the Year Award || 1952–53 NBA season || 1952–53 Fort Wayne Pistons season || Kevin Durant || NBA All-Star Game Most Valuable Player Award
5a713a5a5542994082a3e6a9,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,"manchester united f.c. in european football || old trafford, greater manchester",2,0,0.5,0,0.5,0,0.5,"Old Trafford, Greater Manchester || Trafford || Greater Manchester || Manchester city centre || Stretford",0,0.5,0,0.5,0,0.5,"Old Trafford, Greater Manchester || Old Trafford || Gorse Hill || Manchester United F.C. || Stretford",0,0.5,0,0.5,0,0.5,"Old Trafford, Greater Manchester || Trafford || Stretford || Old Trafford || Gorse Hill",0,0.5,0,0.5,0,0.5,"Old Trafford, Greater Manchester || Trafford || Stretford || Old Trafford || Old Trafford tram stop"
5a713b325542994082a3e6b5,What was the capital of India when the Taj Mahal was commissioned?,Agra,agra fort || taj mahal,2,0,0.0,0,0.0,0,0.5,"Origins and architecture of the Taj Mahal || Taj Mahal (disambiguation) || The Taj Mahal Palace Hotel || Taj Mahal (palace) || Taj Mahal Hotel, Abids",0,0.5,0,0.5,0,0.5,Origins and architecture of the Taj Mahal || Taj Mahal || Taj Mahal (palace) || Taj Mahal Bangladesh || The Taj Mahal Palace Hotel,0,0.5,0,0.5,0,0.5,Origins and architecture of the Taj Mahal || Taj Mahal || The Taj Mahal Palace Hotel || Taj Mahal Bangladesh || Taj Mahal (palace),0,0.5,0,0.5,0,0.5,Origins and architecture of the Taj Mahal || The Taj Mahal Palace Hotel || Taj Mahal || Taj Mahal Bangladesh || Mumtaz Mahal
5a713dcb5542994082a3e6d9,What pursuit did both Gevork Minaskanian and George Stambolian have in common?,"American educator, writer,",george stambolian || gevork minaskanian,2,1,1.0,1,1.0,1,1.0,Gevork Minaskanian || George Stambolian || United States Patent and Trademark Office || Aderis Pharmaceuticals || Dopamine,1,1.0,1,1.0,1,1.0,George Stambolian || Gevork Minaskanian || Aderis Pharmaceuticals || Virginia Commonwealth University || Dopamine,1,1.0,1,1.0,1,1.0,Gevork Minaskanian || George Stambolian || United States Patent and Trademark Office || Aderis Pharmaceuticals || Dopamine,1,1.0,1,1.0,1,1.0,Gevork Minaskanian || George Stambolian || United States Patent and Trademark Office || Aderis Pharmaceuticals || Parkinson's disease
5a713f395542994082a3e6ea,Where does the state legislature in which John Coffin Talbot served convene?,the State House in Augusta,john c. talbot || maine legislature,2,1,1.0,1,1.0,1,1.0,John C. Talbot || List of Presidents of the Maine Senate || Maine Legislature || Maine || Maine Democratic Party,1,1.0,1,1.0,1,1.0,John C. Talbot || Maine Legislature || List of Presidents of the Maine Senate || Maine Democratic Party || Thomas Talbot (Massachusetts),1,1.0,1,1.0,1,1.0,John C. Talbot || Maine Legislature || List of Presidents of the Maine Senate || Maine Senate || Maine,1,1.0,1,1.0,1,1.0,John C. Talbot || Maine Legislature || Thomas Talbot (Massachusetts) || John S.C. Knowlton || John N. Anderson
5a71474b5542994082a3e74f,What was triggered by the resignation of Conservative MP Stephen Phillips on 4 November 2016 and was when Caroline Johnson became a Member of Parliament?,The Sleaford and North Hykeham by-election,"caroline johnson || sleaford and north hykeham by-election, 2016",2,0,0.5,1,1.0,1,1.0,Stephen Phillips (politician) || Caroline Johnson || Member of parliament || Sleaford and North Hykeham (UK Parliament constituency) || Conservative Party (UK),1,1.0,1,1.0,1,1.0,"Stephen Phillips (politician) || Caroline Johnson || Sleaford and North Hykeham by-election, 2016 || Conservative Party (UK) || Member of parliament",1,1.0,1,1.0,1,1.0,"Stephen Phillips (politician) || Caroline Johnson || Sleaford and North Hykeham by-election, 2016 || Conservative Party (UK) || Member of parliament",1,1.0,1,1.0,1,1.0,"Stephen Phillips (politician) || Caroline Johnson || Member of parliament || Sleaford and North Hykeham by-election, 2016 || Conservative Party (UK)"
5a7148685542994082a3e761,Paul Ziert recruited what two time gold medalist in gymnastics?,Bart Conner,bart conner || paul ziert,2,1,1.0,1,1.0,1,1.0,Paul Ziert || Bart Conner || Sabina Cojocar || Laura Cutina || Kyla Ross,1,1.0,1,1.0,1,1.0,Paul Ziert || Bart Conner || Sabina Cojocar || Kyla Ross || Laura Cutina,1,1.0,1,1.0,1,1.0,Paul Ziert || Bart Conner || Laura Cutina || Sabina Cojocar || Kyla Ross,1,1.0,1,1.0,1,1.0,Paul Ziert || Bart Conner || Laura Cutina || Kyla Ross || Max Whitlock
