split,top_k,original_id,question_type,difficulty,question,gold_answer,retrieved_count,support_title_count,retrieved_support_title_count,support_title_coverage,support_present_in_topk,missing_support_titles,retrieved_support_ranks,max_retrieved_support_rank,answer_present_in_returned_docs,top_titles
test,5,5a7125b95542994082a3e5d5,bridge,hard,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville,5,2,0,0.0,0,"gardnerville, nevada || minden, nevada",,,0,"Wescosville, Pennsylvania || Sinegorye || Colón, Venezuela || Kilkivan, Queensland || Rubio, Venezuela"
test,5,5a7137dc5542994082a3e68a,bridge,hard,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,5,2,0,0.0,0,kevin durant || nba rookie of the year award,,,0,"Durant High School || Kevin McDonald (footballer, born 1988) || 120 Days || List of Barnard College people || Denmark at the 1952 Winter Olympics"
test,5,5a7133565542994082a3e65c,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County,5,2,0,0.0,0,"lake louisvilla, louisville || oldham county, kentucky",,,0,"University of Kentucky College of Pharmacy || Kentucky Route 160 || Kentucky Route 194 || Kentucky Route 38 || United States cities by crime rate (40,000–60,000)"
test,5,5a713a5a5542994082a3e6a9,bridge,hard,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,5,2,0,0.0,0,"manchester united f.c. in european football || old trafford, greater manchester",,,0,Latinos FC || Sunset FC || Scholars International SC || Tornados de Humacao || Racing de Santander
test,5,5a71231a5542994082a3e5c4,bridge,hard,"What edible, juicy fruit is grown on a deciduous tree called 'pesco' in Italian?",peach,5,2,0,0.0,0,peach || pesco,,,0,John of La Verna || Pelargopsis || 1899 Italian Football Championship || 1898 Italian Football Championship || 10 feet
test,10,5a7125b95542994082a3e5d5,bridge,hard,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville,10,2,0,0.0,0,"gardnerville, nevada || minden, nevada",,,0,"Wescosville, Pennsylvania || Sinegorye || Colón, Venezuela || Kilkivan, Queensland || Rubio, Venezuela"
test,10,5a7137dc5542994082a3e68a,bridge,hard,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,10,2,0,0.0,0,kevin durant || nba rookie of the year award,,,0,"Durant High School || Kevin McDonald (footballer, born 1988) || 120 Days || List of Barnard College people || Denmark at the 1952 Winter Olympics"
test,10,5a7133565542994082a3e65c,bridge,hard,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County,10,2,0,0.0,0,"lake louisvilla, louisville || oldham county, kentucky",,,0,"University of Kentucky College of Pharmacy || Kentucky Route 160 || Kentucky Route 194 || Kentucky Route 38 || United States cities by crime rate (40,000–60,000)"
test,10,5a713a5a5542994082a3e6a9,bridge,hard,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,10,2,0,0.0,0,"manchester united f.c. in european football || old trafford, greater manchester",,,0,Latinos FC || Sunset FC || Scholars International SC || Tornados de Humacao || Racing de Santander
test,10,5a71231a5542994082a3e5c4,bridge,hard,"What edible, juicy fruit is grown on a deciduous tree called 'pesco' in Italian?",peach,10,2,0,0.0,0,peach || pesco,,,0,John of La Verna || Pelargopsis || 1899 Italian Football Championship || 1898 Italian Football Championship || 10 feet
