case_id,sample_name,original_id,top_k,sample_bucket,sufficiency_label,question,gold_answer,model_answer,em,f1,taxonomy,raw_taxonomy,answer_supported_by_context,gold_supported_by_context,confidence,short_reason,context_titles,error
natural_qa120::5add23d05542994734353871::top5,natural_qa120,5add23d05542994734353871,5,top5_sufficient,sufficient,What is the primary duty of the Austrian Pinscher and the Maremma Sheepdog?,to guard,"Guarding livestock and farms, protecting sheep from wolves.",0.0,0.0,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,"Model answer 'Guarding livestock and farms, protecting sheep from wolves' semantically matches gold answer 'to guard'; both indicate guarding as the primary duty. The model provides expanded detail (guarding livestock, farms, protecting sheep from wolves) that aligns with context showing Austrian Pinscher as 'home guards, livestock guardians' and Maremma Sheepdog as 'livestock guardian dog' used 'to guard sheep from wolves'. The gold answer is very brief while model answer gives the same core meaning with more specificity.",Austrian Pinscher || Maremma Sheepdog || Maremma || Pinscher || Austria,
natural_qa120::5add23d05542994734353871::top20,natural_qa120,5add23d05542994734353871,20,top5_sufficient,sufficient,What is the primary duty of the Austrian Pinscher and the Maremma Sheepdog?,to guard,Ratting and guarding livestock and property.,0.0,0.0,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,Model answer 'Ratting and guarding livestock and property' includes the gold answer 'to guard' as the primary duty for both breeds; the model answer is more detailed but semantically equivalent to the gold answer.,Austrian Pinscher || Maremma Sheepdog || Maremma || Pinscher || Austria || Polish Tatra Sheepdog || Dog || Livestock guardian dog || Dog breed || Rat || Dog type || Working dog || Abruzzo || Central Italy || Akbash dog || Gray wolf || Hungary || Kuvasz || Lazio || Poland,
natural_qa120::5a82d71555429966c78a6a94::top5,natural_qa120,5a82d71555429966c78a6a94,5,top5_sufficient,sufficient,Were the Tundra Mine and Negus Mine located in the same country?,yes,"Yes, both were located in Canada's Northwest Territories.",0.0,0.2222222222222222,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,"Model answer 'Yes, both were located in Canada's Northwest Territories' is semantically equivalent to gold answer 'yes' for this yes/no question; model just provides additional location detail that confirms same-country status.",Negus Mine || Tundra Mine || Canada || Con Mine || Tundra Mine/Salamita Mine Aerodrome,
natural_qa120::5a82d71555429966c78a6a94::top20,natural_qa120,5a82d71555429966c78a6a94,20,top5_sufficient,sufficient,Were the Tundra Mine and Negus Mine located in the same country?,yes,"Yes, both were located in Canada.",0.0,0.2857142857142857,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,"Model answer 'Yes, both were located in Canada' is semantically equivalent to gold answer 'yes'; both correctly indicate the mines were in the same country. Exact match failure due to different format/verbosity, not content error.",Negus Mine || Tundra Mine || Canada || Con Mine || Tundra Mine/Salamita Mine Aerodrome || Negus || Yellowknife || Location identifier || Northwest Territories || Transport Canada || Negus (surname) || Gold || Oidaematophorus negus || James Negus || Lepidochrysops negus || Aerodrome || Francis Negus || Negus (disambiguation) || Lophostethus negus || Negus (drink),
natural_qa120::5a74a26a55429979e28829d6::top5,natural_qa120,5a74a26a55429979e28829d6,5,top5_sufficient,sufficient,"Which composer was born earlier, Paul Hindemith or Béla Bartók?",Béla Viktor János Bartók,Béla Bartók,0.0,0.6666666666666666,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,Model answer 'Béla Bartók' is semantically equivalent to gold answer 'Béla Viktor János Bartók'; both correctly identify Bartók as born earlier (1881 vs 1895). The model simply used the common name instead of full name.,Béla Bartók || Sonata for Solo Cello (Crumb) || Paul Hindemith || Avant-garde || List of compositions by Paul Hindemith,
natural_qa120::5a74a26a55429979e28829d6::top20,natural_qa120,5a74a26a55429979e28829d6,20,top5_sufficient,sufficient,"Which composer was born earlier, Paul Hindemith or Béla Bartók?",Béla Viktor János Bartók,Béla Bartók,0.0,0.6666666666666666,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,"Model correctly identified Bartók as born earlier using common name 'Béla Bartók', while gold answer used full name 'Béla Viktor János Bartók'. Both refer to the same composer and are supported by birth dates in context (Bartók 1881, Hindemith 1895).",Béla Bartók || Sonata for Solo Cello (Crumb) || Paul Hindemith || Avant-garde || List of compositions by Paul Hindemith || George Crumb || Musical composition || Composer || Symphony in B-flat for Band (Hindemith) || List of operas by Hindemith || Das Marienleben || Germans || Béla Bartók Music High School || Kammermusik (Hindemith) || Conducting || Bartok (disambiguation) || Germany || Piano Sonata No. 1 (Hindemith) || United States Army Band || Bartók (crater),
natural_qa120::5abc219655429959677d6a1d::top5,natural_qa120,5abc219655429959677d6a1d,5,rescued_by_top20,insufficient,Which comic book was also written by the writer of Crossed?,"the Vertigo series ""Preacher""",Stray Bullets,0.0,0.0,generation_failure,generation_failure,false,false,high,"Model answer Stray Bullets was written by David Lapham (who wrote later Crossed volumes), but retrieved context only mentions Garth Ennis as the original Crossed writer; neither Preacher nor the correct writer-connection is established in context.",Crossed (comics) || Comic book || Star Crossed (comics) || Avatar Press || David Lapham,
natural_qa120::5abc219655429959677d6a1d::top20,natural_qa120,5abc219655429959677d6a1d,20,rescued_by_top20,sufficient,Which comic book was also written by the writer of Crossed?,"the Vertigo series ""Preacher""",Preacher,0.0,0.5,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,Model answer 'Preacher' is semantically equivalent to gold answer 'the Vertigo series Preacher'. The retrieved context confirms Garth Ennis wrote both Crossed and Preacher.,Crossed (comics) || Comic book || Star Crossed (comics) || Avatar Press || David Lapham || Matt Howarth || DC Comics || Jacen Burrows || Glenn Greenberg || Webcomic || Ade Capone || Garth Ennis || Jan (comic book writer) || Mike Costa || Limited series || Imprint (trade name) || Crossed (novel) || Asteroid || 1997 in comics || Helix (comics),
natural_qa120::5abce7d755429959677d6b3a::top20,natural_qa120,5abce7d755429959677d6b3a,20,unresolved_top20,insufficient,Docks has hosted the funk rock band formed in what city in 1983?,Los Angeles,Melbourne,0.0,0.0,retrieval_insufficient,retrieval_insufficient,false,false,high,"Retrieved context shows I'm Talking as funk-pop rock band formed in 1983 in Melbourne (matching model answer), and Rock Candy Funk Party in Los Angeles but no 1983 formation date or Docks connection; context lacks evidence for gold answer Los Angeles for a 1983 funk rock band.",Funk rock || Cuibul || Lafayette Afro Rock Band || U.D.R. || The Headhunters || Whiteface (band) || Love and Money (band) || Hadorbanim || Alta Moda || Safam || Stress (pop rock band) || Giuffria || I'm Talking || Funk || Efecto Pasillo || Ausgang || Of Good Nature || Rock Candy Funk Party || Swanee River (band) || Midas (Japanese band),
natural_qa120::5ab6cebd55429954757d3378::top5,natural_qa120,5ab6cebd55429954757d3378,5,top5_sufficient,sufficient,What kind of act does Whaling in Australia and Right whale have in common?,hunt,Whaling,0.0,0.0,generation_failure,generation_failure,false,true,high,Model answered 'Whaling' (the activity topic) instead of 'hunt' (the specific act). Context supports that both involve hunting/killing whales for commercial purposes.,Whale watching in Australia || Whaling in Australia || Right whale || Whaling in New Zealand || Right Whale Bay,
