method_name,policy,tau_answer,case_type,taxonomy,id,original_id,question,gold_answer,sufficiency_label,risk_score,decision,audit_support_title_coverage,audit_gold_answer_in_top5,query_token_coverage_union,title_token_coverage_union,embedding_top1_share,top5_titles
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a7125b95542994082a3e5d5__global_embedding_top5,5a7125b95542994082a3e5d5,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville,sufficient,0.0,answer,1.0,1.0,0.8666666666666667,0.2,0.23558704819620951,"Gardnerville, Nevada || Minden, Nevada || Douglas County, Nevada || Gardnerville Ranchos, Nevada || Minden, New York"
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a7148d25542994082a3e766__global_embedding_top5,5a7148d25542994082a3e766,"Which of these artists is older, Warrel Dane or Roy Khan?",Warrel Dane,sufficient,0.0,answer,1.0,1.0,0.7272727272727273,0.36363636363636365,0.23945647425686084,Warrel Dane || Roy Khan || Praises to the War Machine || Wajahat Khan || Nevermore (album)
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a7211e655429971e9dc923c__global_embedding_top5,5a7211e655429971e9dc923c,"What Finnish Christmas figure, which eventually become more or less conflated with Santa Claus, has modern representations typically made of straw.?",The Yule goat,sufficient,0.0,answer,1.0,1.0,0.9047619047619048,0.14285714285714285,0.2215449512583295,Santa Claus || Joulupukki || Mikulás || Yule Goat || Christmas stocking
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a7322a25542991f9a20c634__global_embedding_top5,5a7322a25542991f9a20c634,Was the Metropolitan Life Insurance Company Tower [Met Life Tower] or the 15 Hudson Yards building designed by the firm of Napoleon LeBrun & Sons?,The Metropolitan Life Insurance Company Tower,sufficient,0.0,answer,1.0,1.0,0.95,0.45,0.23049894915542704,Metropolitan Life Insurance Company Tower || Hedden Construction Company || Manhattan Life Insurance Building || 15 Hudson Yards || Metropolitan Life North Building
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a7455eb55429979e2882908__global_embedding_top5,5a7455eb55429979e2882908,"Which Avalanche happened first, Rigopiano avalanche or 1999 Galtür avalanche ?",The Galtür avalanche,sufficient,0.0,answer,1.0,1.0,0.8888888888888888,0.5555555555555556,0.2435730839499638,1999 Galtür avalanche || Rigopiano avalanche || Evolène avalanche || 2009 Buachaille Etive Mòr avalanche || Mount Epperly
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a75d45f5542994ccc918630__global_embedding_top5,5a75d45f5542994ccc918630,"Which refers to more breeds, Stabyhoun or Griffon Bruxellois?",Griffon Bruxellois,sufficient,0.0,answer,1.0,1.0,0.7777777777777778,0.3333333333333333,0.2192100365669524,Griffon Bruxellois || Stabyhoun || Griffon || Griffon Fauve de Bretagne || Chien Français Blanc et Noir
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a75e7b255429976ec32bc95__global_embedding_top5,5a75e7b255429976ec32bc95,"Which games, Strange Synergy or Qwirkle,  is a card game published by Steve Jackson Games?",Strange Synergy,sufficient,0.0,answer,1.0,1.0,0.9285714285714286,0.35714285714285715,0.24335927339912522,Strange Synergy || Qwirkle || Hacker (card game) || Battle Cattle: The Card Game || Car Wars The Card Game
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a762cf0554299109176e6a4__global_embedding_top5,5a762cf0554299109176e6a4,"Who is older, Bertalan Farkas or Hans Schlegel?",Bertalan Farkas,sufficient,0.0,answer,1.0,1.0,0.875,0.5,0.24008900011601506,Bertalan Farkas || Hans Schlegel || Karl Wilhelm Friedrich Schlegel || Hans von Hentig || Hans Carl von Carlowitz
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a76bbe85542993735360191__global_embedding_top5,5a76bbe85542993735360191,"Which American spy thriller TV series, which was developed by Howard Gordon and Alex Gansa, had a fourth season episode titled ""Krieg Nicht Lieb?""",Homeland,sufficient,0.0,answer,1.0,1.0,0.9130434782608695,0.2608695652173913,0.22553473298864873,Krieg Nicht Lieb || Homeland (TV series) || List of Homeland episodes || Homeland (season 4) || Luther (TV series)
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.3,safe_answer,safe_answer,5a774c0155429966f1a36ce2__global_embedding_top5,5a774c0155429966f1a36ce2,"Which women's magazine was published first, Mirabella or Home Monthly?",Home Monthly,sufficient,0.0,answer,1.0,1.0,0.9090909090909091,0.36363636363636365,0.2513707243939614,Mirabella || Home Monthly || Godey's Lady's Book || New York Daily Mirror || The Home Computer Advanced Course
