case_id,sample_name,original_id,top_k,sample_bucket,sufficiency_label,question,gold_answer,model_answer,em,f1,taxonomy,raw_taxonomy,answer_supported_by_context,gold_supported_by_context,confidence,short_reason,context_titles,error
stratified_qa90::5a887293554299206df2b273::top5,stratified_qa90,5a887293554299206df2b273,5,top5_sufficient,sufficient,From what island has Chryseobacterium frigidum isolated?,island of Spitsbergen,Spitsbergen,0.0,0.5,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,Model answer 'Spitsbergen' is semantically equivalent to gold answer 'island of Spitsbergen' - merely a shortened form dropping the redundant 'island of' prefix while still correctly identifying the same island,Chryseobacterium frigidum || Ny-Ålesund || Chryseobacterium || Aerobic organism || Chryseobacterium balustinum,
stratified_qa90::5a887293554299206df2b273::top20,stratified_qa90,5a887293554299206df2b273,20,top5_sufficient,sufficient,From what island has Chryseobacterium frigidum isolated?,island of Spitsbergen,Spitsbergen,0.0,0.5,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,"Model answer 'Spitsbergen' is semantically equivalent to gold answer 'island of Spitsbergen' - Spitsbergen is the name of the island, so both refer to the same entity.",Chryseobacterium frigidum || Ny-Ålesund || Chryseobacterium || Aerobic organism || Chryseobacterium balustinum || Chryseobacterium haifense || Chryseobacterium treverense || Chryseobacterium xinjiangense || Chryseobacterium koreense || Non-motile bacteria || Chryseobacterium echinoideorum || Chryseobacterium luteum || Chryseobacterium indoltheticum || Chryseobacterium antarcticum || Chryseobacterium jeonii || Chryseobacterium limigenitum || Chryseobacterium hispanicum || Norway || Chryseobacterium gregarium || Chryseobacterium hungaricum,
stratified_qa90::5ae382ee5542992e3233c430::top5,stratified_qa90,5ae382ee5542992e3233c430,5,top5_sufficient,sufficient,The Prussian General Carl von Clausewitz is associated with what type of realism?,Modern thinkers associated with classical realism are Carl von Clausewitz,Classical realism,0.0,0.33333333333333337,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,"Model answer 'Classical realism' is semantically equivalent to and directly answers the question, supported by retrieved context stating 'Modern thinkers associated with classical realism are Carl von Clausewitz.' The gold answer includes extra context beyond what the question asked, but the model answer correctly identifies the type of realism as classical realism.",Carl von Clausewitz || On War || Military theory || Classical realism (international relations) || Military psychology,
stratified_qa90::5ae382ee5542992e3233c430::top20,stratified_qa90,5ae382ee5542992e3233c430,20,top5_sufficient,sufficient,The Prussian General Carl von Clausewitz is associated with what type of realism?,Modern thinkers associated with classical realism are Carl von Clausewitz,Classical realism,0.0,0.33333333333333337,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,Model answer 'Classical realism' is a concise phrasing equivalent to the longer gold answer sentence.,Carl von Clausewitz || On War || Military theory || Classical realism (international relations) || Military psychology || August Otto Rühle von Lilienstern || Absolute war || Prussia || Battle of Wavre || Panzer division || Carl Heinrich von Wedel || Carl von Brühl || Gerhard von Scharnhorst || Panzer Division Clausewitz || Marie von Clausewitz: The Woman Behind the Making of On War || Center of gravity (military) || Nazi Germany || Carl Freiherr von Seckendorff || Carl Ludwig von Oesfeld || World War II,
stratified_qa90::5ab90d2755429916710eb0f0::top20,stratified_qa90,5ab90d2755429916710eb0f0,20,top5_sufficient,sufficient, Steven Rattazzi provides the voice for the character of Doctor Byron Orpheus on an animated series created by who?,Christopher McCulloch,Christopher McCulloch (Jackson Publick),0.0,0.6666666666666666,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,Model answer includes alias 'Jackson Publick' but correct answer is just 'Christopher McCulloch'; both refer to same creator.,"Steven Rattazzi || The Venture Bros. || Actor || United States || Voice acting || Adult Swim || Steven Universe || Animated series || River Song (Doctor Who) || Orpheus (comics) || Stevonnie || Steven Universe (character) || Pearl (Steven Universe) || Clara Oswald || Steven Taylor (Doctor Who) || Orpheus Male Voice Choir, Grimsby & Cleethorpes || Azula || Angry Kid || Bill Potts (Doctor Who) || Garnet (Steven Universe)",
stratified_qa90::5a749e1855429979e28829c3::top5,stratified_qa90,5a749e1855429979e28829c3,5,top5_sufficient,sufficient,"Which tennis player is older, Emilio Sánchez or Andrei Olhovskiy?",Emilio Ángel Sánchez Vicario,Emilio Sánchez,0.0,0.6666666666666666,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,"Model answer 'Emilio Sánchez' is a shortened form of gold answer 'Emilio Ángel Sánchez Vicario', both correctly identifying the same person who was born 29 May 1965 and is older than Olhovskiy (born 15 April 1966).",Andrei Olhovskiy || Emilio Sánchez || Arantxa Sánchez Vicario || Tennis || Manuel Sánchez (tennis),
stratified_qa90::5a749e1855429979e28829c3::top20,stratified_qa90,5a749e1855429979e28829c3,20,top5_sufficient,sufficient,"Which tennis player is older, Emilio Sánchez or Andrei Olhovskiy?",Emilio Ángel Sánchez Vicario,Emilio Sánchez,0.0,0.6666666666666666,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,The model answer 'Emilio Sánchez' correctly identifies the older player but is a shortened name and does not exactly match the full name 'Emilio Ángel Sánchez Vicario' in the gold answer.,Andrei Olhovskiy || Emilio Sánchez || Arantxa Sánchez Vicario || Tennis || Manuel Sánchez (tennis) || Grand Slam (tennis) || Russian language || Mariano Sánchez (tennis) || Andrei Vasilevski (tennis) || Emilio Sánchez Perrier || Alfonso Emilio Sánchez || Andrei Pătrui || 1988 Summer Olympics || Andrei Pavel || 1987 Bavarian Tennis Championships – Singles || Emilio José Sánchez Fuentes || 1987 Bavarian Tennis Championships – Doubles || 1996 Indonesia Open – Doubles || Emilio Montaño || 1997 St. Petersburg Open – Doubles,
stratified_qa90::5ade1c9e55429939a52fe822::top5,stratified_qa90,5ade1c9e55429939a52fe822,5,top5_sufficient,sufficient,Where did Henri Christophe and other slaves hold an uprising from 1791 to 1804 that led to the founding of a state which was both free from slavery and ruled by non-whites and former captives?,Saint-Domingue,Saint-Domingue (now Haiti),0.0,0.5,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,"Model answer adds '(now Haiti)' but location is same, making it semantically equivalent to gold 'Saint-Domingue'.",Haitian Revolution || Henri Christophe || Atlantic World || French colonial empire || Abolitionism,
stratified_qa90::5ade1c9e55429939a52fe822::top20,stratified_qa90,5ade1c9e55429939a52fe822,20,top5_sufficient,sufficient,Where did Henri Christophe and other slaves hold an uprising from 1791 to 1804 that led to the founding of a state which was both free from slavery and ruled by non-whites and former captives?,Saint-Domingue,Saint-Domingue (now Haiti) on Hispaniola,0.0,0.33333333333333337,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,Model answer 'Saint-Domingue (now Haiti) on Hispaniola' contains exact gold answer 'Saint-Domingue' plus additional correct location context. The extra phrase 'now Haiti on Hispaniola' provides valid supplementary detail without contradicting the gold answer.,"Haitian Revolution || Henri Christophe || Atlantic World || French colonial empire || Abolitionism || French language || Kevin Bales || Kingdom of Haiti || Saint-Domingue || Free the Slaves || Henri Christophe: A Chronicle in Seven Scenes || Slavery in the Ottoman Empire || Aztec slavery || American Anti-Slavery Group || Whites, Free State || Haiti || Aztec || History of slavery in Vermont || Mormonism and slavery || Henri Christophe (disambiguation)",
stratified_qa90::5add16b65542990d50227dd2::top5,stratified_qa90,5add16b65542990d50227dd2,5,top5_sufficient,sufficient,What is the age range of the league for which the Bobby Smith Trophy is awarded?,16–21,Players aged 16–21,0.0,0.5,answer_alias_or_metric_mismatch,answer_alias_or_metric_mismatch,true,true,high,"Model answer 'Players aged 16-21' and gold answer '16-21' are semantically identical. Both correctly identify the OHL age range of 16-21, but the exact match comparison flagged them as different due to phrasing differences.",Bobby Smith Trophy || Ontario Hockey League || Bobby Orr Trophy || Bobby Orr || Wayne Gretzky Trophy,
