split,top_k,original_id,question_type,difficulty,question,gold_answer,retrieved_count,support_title_count,retrieved_support_title_count,support_title_coverage,support_present_in_topk,missing_support_titles,retrieved_support_ranks,max_retrieved_support_rank,answer_present_in_returned_docs,top_titles
train,5,5a70eee85542994082a3e3f0,bridge,hard,"Which group of people in West Africa with significant populations in Ghana, Ivory Coast, Liberia and Sierra Leone use the Ida?",The Yoruba,5,2,0,0.0,0,ida (sword) || yoruba people,,,0,"List of companies of Swaziland || Apple Hill || Coast Peoples' Party || Rebu || Coopernook, New South Wales"
train,10,5a70eee85542994082a3e3f0,bridge,hard,"Which group of people in West Africa with significant populations in Ghana, Ivory Coast, Liberia and Sierra Leone use the Ida?",The Yoruba,10,2,0,0.0,0,ida (sword) || yoruba people,,,0,"List of companies of Swaziland || Apple Hill || Coast Peoples' Party || Rebu || Coopernook, New South Wales"
train,5,5a70f0a75542994082a3e403,bridge,hard,"Which dialect spoken in the province of Scania calls Spettekaka, ""spiddekaga""?",Scanian dialects,5,2,0,0.0,0,scanian dialect || spettekaka,,,0,"Karuah, New South Wales || Wormwood (computer virus) || Cağ kebabı || Bécancour River || Legislative districts of Misamis Occidental"
train,10,5a70f0a75542994082a3e403,bridge,hard,"Which dialect spoken in the province of Scania calls Spettekaka, ""spiddekaga""?",Scanian dialects,10,2,0,0.0,0,scanian dialect || spettekaka,,,0,"Karuah, New South Wales || Wormwood (computer virus) || Cağ kebabı || Bécancour River || Legislative districts of Misamis Occidental"
train,5,5a70f11a5542994082a3e40b,comparison,hard,"Which dog breed, the Schapendoes or the Bull Terrier, has its origins in a greater number of other dog breeds?",Bull Terrier,5,2,0,0.0,0,bull terrier (miniature) || schapendoes,,,0,Half-Breeds on Venus || Basset Bleu de Gascogne || Fiesta Mart || Fred Basset (greyhound) || Boys in Heat
train,10,5a70f11a5542994082a3e40b,comparison,hard,"Which dog breed, the Schapendoes or the Bull Terrier, has its origins in a greater number of other dog breeds?",Bull Terrier,10,2,0,0.0,0,bull terrier (miniature) || schapendoes,,,0,Half-Breeds on Venus || Basset Bleu de Gascogne || Fiesta Mart || Fred Basset (greyhound) || Boys in Heat
train,5,5a70f1685542994082a3e40f,bridge,hard,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries? ,Symphony No. 7,5,2,0,0.0,0,symphony no. 7 (beethoven) || violin sonata no. 5 (beethoven),,,0,Otto von Botenlauben || Ludwig Donath || Ilka Pálmay || David van Zanten || Betteke van Ruler
train,10,5a70f1685542994082a3e40f,bridge,hard,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries? ,Symphony No. 7,10,2,0,0.0,0,symphony no. 7 (beethoven) || violin sonata no. 5 (beethoven),,,0,Otto von Botenlauben || Ludwig Donath || Ilka Pálmay || David van Zanten || Betteke van Ruler
train,5,5a70f4c45542994082a3e437,bridge,hard,"Which Italian-American composer and librettist wrote the English language opera, Maria Golovin?",Gian Carlo Menotti,5,2,0,0.0,0,gian carlo menotti || maria golovin,,,0,Jazz Is My Native Language || Maria Arredondo || The Kiss (Hayez) || Silicon Embrace || Herbert Witherspoon
train,10,5a70f4c45542994082a3e437,bridge,hard,"Which Italian-American composer and librettist wrote the English language opera, Maria Golovin?",Gian Carlo Menotti,10,2,0,0.0,0,gian carlo menotti || maria golovin,,,0,Jazz Is My Native Language || Maria Arredondo || The Kiss (Hayez) || Silicon Embrace || Herbert Witherspoon
valid,5,5a70f0e75542994082a3e408,comparison,hard,"Which of these universities, Northwestern University or Johns Hopkins University, have a campus outside of the United States territories?","with other campuses located in Chicago and Doha, Qatar",5,2,0,0.0,0,johns hopkins university || northwestern university,,,0,Mahachulalongkornrajavidyalaya University || University of the Philippines College of Science || Walailak University || Johns (film) || Thaksin University
