method_name,policy,tau_answer,case_type,taxonomy,id,original_id,question,gold_answer,sufficiency_label,risk_score,decision,audit_support_title_coverage,audit_gold_answer_in_top5,query_token_coverage_union,title_token_coverage_union,embedding_top1_share,top5_titles
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5a75e62f5542992d0ec06013__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5a75e62f5542992d0ec06013,"Johnny Mathis: Wonderful Wonderful aired at what luxury hotel, casino and spa resort located in Atlantic City, New Jersey?",Tropicana Casino & Resort,sufficient,0.0,answer,1.0,1.0,0.9444444444444444,0.5,0.2253410464740137,"Tropicana Casino & Resort Atlantic City || Johnny Mathis: Wonderful, Wonderful! || Atlantic City, New Jersey || Borgata || Caesars Atlantic City"
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5a7a59d15542996c55b2dd67__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5a7a59d15542996c55b2dd67,What other female rappers appeared Brittany Nicole Carpentero in the official remix to My Chick Bad?,"Eve, and Trina",sufficient,0.0,answer,1.0,1.0,0.9375,0.375,0.2759018988462708,My Chick Bad || Diamond (rapper) || The Legendary Traxster || Nicole Andrews || Turn the Other Chick
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5a7e37095542995ed0d166d5__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5a7e37095542995ed0d166d5,"Which film director is younger, Robert Z. Leonard or Sinclair Hill?",Sinclair Hill,sufficient,0.0,answer,1.0,1.0,0.9090909090909091,0.6363636363636364,0.2218441406070788,Sinclair Hill || Robert Z. Leonard || Film director || Film producer || Screenwriter
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5a7fb1e55542995d8a8ddef7__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5a7fb1e55542995d8a8ddef7,"Which documentary film premiered first, Grizzly Man or Pray the Devil Back to Hell?",Grizzly Man,sufficient,0.0,answer,1.0,1.0,0.9285714285714286,0.7142857142857143,0.24654478854485373,Pray the Devil Back to Hell || Grizzly Man || Abigail Disney || Documentary film || Tribeca Film Festival
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5a827ce155429940e5e1a8d7__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5a827ce155429940e5e1a8d7,"Which player won more Grand Slam titles, Kevin Ullyett or Billie Jean King?",Billie Jean King,sufficient,0.0,answer,1.0,1.0,0.8461538461538461,0.5384615384615384,0.24762861461596083,Billie Jean King || Kevin Ullyett || Grand Slam (tennis) || Larisa Neiland || Judy Tegart-Dalton
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5a84b7db5542991dd0999db0__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5a84b7db5542991dd0999db0,Are both Götterdämmerung and Dafne considered operas?,no,sufficient,0.0,answer,1.0,1.0,1.0,0.4444444444444444,0.13593337551747162,Dafne || Götterdämmerung || Götterdämmerung discography || Richard Wagner || Marjorie Lawrence
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5a8a803b55429930ff3c0e04__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5a8a803b55429930ff3c0e04,Jean Hudson Boyd is known for her controversial sentencing of Ethan Couch. What was his sentence?,ten years of probation,sufficient,0.0,answer,1.0,1.0,1.0,0.375,0.22679632754542756,"Jean Hudson Boyd || Ethan Couch || Sentence (law) || Tarrant County, Texas || Judge"
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5a8b77705542995d1e6f13aa__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5a8b77705542995d1e6f13aa,What American broadcasting company broadcasted the comedy show hosted by Emma Willmann?,Sirius XM Holdings,sufficient,0.0,answer,1.0,1.0,0.8333333333333334,0.4166666666666667,0.2483064736661519,Emma Willmann || The Late Show with Stephen Colbert || Sirius XM Holdings || Comedy || Stand-up comedy
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5ab57759554299637185c5a5__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5ab57759554299637185c5a5,Princess Marie-Clementine Bagration was the illegitimate daughter of the Austrian Empire's Foreign Minister whose resignation was forced by what?,the liberal revolutions of 1848,sufficient,0.0,answer,1.0,1.0,0.8421052631578947,0.2631578947368421,0.28221719228139164,Marie-Clementine Bagration || Klemens von Metternich || Princess Marie of Windisch-Graetz || Catherine Bagration || Historical assessment of Klemens von Metternich
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.5,safe_answer,safe_answer,5ab9547755429970cfb8ea6c__official_intro_link_bridge_support_reranker_random_forest_balanced_all_blend1_00_top5,5ab9547755429970cfb8ea6c,St Dionis Backchurch was rebuilt after a major conflagration that consumed how many parish churches?,87,sufficient,0.0,answer,1.0,1.0,0.9333333333333333,0.26666666666666666,0.2513160444623514,St Dionis Backchurch || Great Fire of London || Christopher Wren || City of London || List of Christopher Wren churches in London
