split,original_id,question_type,difficulty,question,gold_answer,context_doc_count,support_title_count,support_titles,context_all_support_present,context_support_title_coverage,context_missing_support_count,context_missing_support_titles,global_pool_all_support_present,global_pool_support_title_coverage,global_pool_missing_support_count,global_pool_missing_support_titles,missing_context_but_present_global_count,missing_context_with_fuzzy_title_count,fuzzy_context_matches,first_context_titles
train,5a70eee85542994082a3e3f0,bridge,hard,"Which group of people in West Africa with significant populations in Ghana, Ivory Coast, Liberia and Sierra Leone use the Ida?",The Yoruba,10,2,ida (sword) || yoruba people,0,0.5,1,ida (sword),0,0.5,1,ida (sword),0,0,,Plukenetia conophora || Pygmy hippopotamus || West Africa || Fula people of Sierra Leone || Ptychadena tournieri || Saro (Nigeria) || Yoruba people || Project Fame West Africa || Cocoa production in Ivory Coast || Mohamed Sillah
train,5a70f0a75542994082a3e403,bridge,hard,"Which dialect spoken in the province of Scania calls Spettekaka, ""spiddekaga""?",Scanian dialects,10,2,scanian dialect || spettekaka,0,0.5,1,scanian dialect,0,0.5,1,scanian dialect,0,0,,Spettekaka || Jiangyin dialect || Irpinian dialect || Mikawa dialect || Pahang Malay || Old Guangde dialect || Nagoya dialect || Upper Saxon German || Baghdad Jewish Arabic || Hakata dialect
train,5a70f11a5542994082a3e40b,comparison,hard,"Which dog breed, the Schapendoes or the Bull Terrier, has its origins in a greater number of other dog breeds?",Bull Terrier,10,2,bull terrier (miniature) || schapendoes,0,0.0,2,bull terrier (miniature) || schapendoes,0,0.0,2,bull terrier (miniature) || schapendoes,0,1,bull terrier (miniature) => bull and terrier,Teddy Roosevelt Terrier || American Pit Bull Terrier || Bull and Terrier || Pit bull || Terrier Group || American Staffordshire Terrier || Rocky Top's Sundance Kid || Chamuco || Airedale Terrier || Conformation (dog)
train,5a70f1685542994082a3e40f,bridge,hard,Which piece did Ludwig van Beethoven publish in 1801 that was dedicated to Count Moritz von Fries? ,Symphony No. 7,10,2,symphony no. 7 (beethoven) || violin sonata no. 5 (beethoven),1,1.0,0,,1,1.0,0,,0,0,,"Ludwig van Beethoven (1712–1773) || Bagatelles, Op. 126 (Beethoven) || Ludwig van Beethoven (Baerer) || Violin Sonata No. 4 (Beethoven) || Ludwig van (film) || Piano Sonata No. 27 (Beethoven) || Symphony No. 7 (Beethoven) || Beethoven Gesamtausgabe || Symphony No. 1 (Beethoven) || Violin Sonata No. 5 (Beethoven)"
train,5a70f4c45542994082a3e437,bridge,hard,"Which Italian-American composer and librettist wrote the English language opera, Maria Golovin?",Gian Carlo Menotti,10,2,gian carlo menotti || maria golovin,1,1.0,0,,1,1.0,0,,0,0,,Gian Carlo Menotti || Anthony Louis Scarmolin || Manoah Leide-Tedesco || The Old Maid and the Thief || Maria Golovin || Bandanna (opera) || Shining Brow (opera) || Hôtel de Pékin || The Hero (opera) || The Dybbuk: An opera in Yiddish
train,5a70f6425542994082a3e44c,bridge,hard,"Renamed in 2014, what was the vehicle offered as a prize to contestants on the first season of The Amazing Race Canada?",Chevrolet Corvette Stingrays,10,2,chevrolet corvette (c7) || the amazing race canada 1,0,0.5,1,chevrolet corvette (c7),0,0.5,1,chevrolet corvette (c7),0,0,,The Amazing Race Canada 1 || The Amazing Race 18 || The Amazing Race Canada 5 || The Amazing Race Canada || The Amazing Race Canada 3 || List of The Amazing Race Canada contestants || The Amazing Race 1 (China) || The Amazing Race en Discovery Channel 1 || The Amazing Race Canada 2 || The Amazing Race Canada 4
train,5a70f9335542994082a3e46a,comparison,hard,"Which magazine is published more in a year, Essence or Alt for Damerne?",ALT for Damerne,10,2,alt for damerne || essence (magazine),0,0.5,1,essence (magazine),0,0.5,1,essence (magazine),0,0,,Scott Poulson-Bryant || ReNew || Alt for Damerne || The Shadow Speaker || Portugal Colonial || Guillaume Morissette || Emeka Esogbue || Lene Thiesen || Tara Betts || Essence Music Festival
train,5a70ff335542994082a3e49c,bridge,hard,"Which Indian actress who earned filmfare award for Best female debut in ""Refugee"" acted in K3G movie?",Kareena Kapoor Khan,10,2,kabhi khushi kabhie gham... || kareena kapoor filmography,0,0.5,1,kabhi khushi kabhie gham...,1,1.0,0,,1,0,,Isi Life Mein || List of awards and nominations received by Asin || Tabu filmography || Kareena Kapoor filmography || Shruti Haasan filmography || Bipasha Basu filmography || List of awards and nominations received by Rekha || Producers Guild Film Award for Best Female Debut || Priyanka Chopra filmography || Filmfare Award for Best Female Debut
train,5a7100435542994082a3e4a3,comparison,hard, Are Finding Kraftland and Shikashika both frozen drinks?,Shikashika is a shaved ice drink,10,2,finding kraftland || shikashika,0,0.5,1,shikashika,0,0.5,1,shikashika,0,0,,Wei-Chuan Food Corporation || Zooper Dooper || Welch's || Ice trade || Nom yen || Finding Kraftland || Eegee's || Dairy mix || Ali Sparkes || Omar Knedlik
train,5a7108fa5542994082a3e4ef,comparison,hard,"Which battle, the Battle of Cold Harbor, or the Second Battle of Bull Run, was fought first?",Second Battle of Bull Run,10,2,battle of cold harbor || second battle of bull run,0,0.5,1,battle of cold harbor,0,0.5,1,battle of cold harbor,0,0,,"Second Bull Run Union order of battle || Terrence Begley || Irvin McDowell || USNS Bull Run (T-AO-156) || North Fork Bull Run River || Elias Wright || Cold Harbor, Virginia || Second Battle of Bull Run || South Fork Bull Run River || Manassas National Battlefield Park"
