sample,policy,action_type,target_k,n,coverage,answered_count,strict_answered_em,answered_f1,alias_corrected_answer_accuracy,lenient_corrected_answer_accuracy,strict_wrong_substantive_count,alias_corrected_wrong_substantive_count,lenient_corrected_wrong_substantive_count,judge_bad_answer_count,judge_bad_answer_rate,strict_insufficient_substantive_answer_rate,alias_corrected_insufficient_substantive_answer_rate,lenient_corrected_insufficient_substantive_answer_rate
natural_qa120,naive_top5,always_answer,5,120,1.0,120,0.5083333333333333,0.5934824434824435,0.675,0.6916666666666667,28,8,6,6,0.05,0.225,0.075,0.05
natural_qa120,naive_top20,always_answer,20,120,1.0,120,0.525,0.6563564213564214,0.775,0.7916666666666666,40,10,8,7,0.058333333333333334,0.4230769230769231,0.15384615384615385,0.15384615384615385
natural_qa120,balanced,answer_abstain_top5,5,120,0.6916666666666667,83,0.6265060240963856,0.7121542446843652,0.7951807228915663,0.8072289156626506,20,6,5,5,0.060240963855421686,0.1,0.025,0.025
natural_qa120,retrieve_more_balanced,answer_retrieve_more_abstain,20,120,0.75,90,0.5777777777777777,0.7285986852653519,0.8888888888888888,0.9,34,6,5,4,0.044444444444444446,0.19230769230769232,0.038461538461538464,0.038461538461538464
natural_qa120,retrieve_more_risk_control@suff_abstain15,answer_retrieve_more_abstain,20,120,0.6833333333333333,82,0.5853658536585366,0.730169288705874,0.8902439024390244,0.9024390243902439,30,5,4,4,0.04878048780487805,0.15384615384615385,0.038461538461538464,0.038461538461538464
natural_qa120,retrieve_more@cov85,answer_retrieve_more_abstain,20,120,0.8166666666666667,98,0.5714285714285714,0.7190078628854139,0.8673469387755102,0.8775510204081632,36,7,6,5,0.05102040816326531,0.23076923076923078,0.07692307692307693,0.07692307692307693
stratified_qa90,naive_top5,always_answer,5,90,1.0,90,0.26666666666666666,0.34214285714285714,0.4111111111111111,0.43333333333333335,20,7,5,5,0.05555555555555555,0.25,0.08333333333333333,0.05
stratified_qa90,naive_top20,always_answer,20,90,1.0,90,0.3888888888888889,0.5121428571428571,0.6111111111111112,0.6555555555555556,32,12,8,8,0.08888888888888889,0.3,0.1,0.06666666666666667
stratified_qa90,balanced,answer_abstain_top5,5,90,0.5444444444444444,49,0.3877551020408163,0.45383867832847424,0.5306122448979592,0.5714285714285714,11,4,2,2,0.04081632653061224,0.11666666666666667,0.05,0.016666666666666666
stratified_qa90,retrieve_more_balanced,answer_retrieve_more_abstain,20,90,0.6777777777777778,61,0.5081967213114754,0.6284933645589382,0.7377049180327869,0.7868852459016393,22,8,5,5,0.08196721311475409,0.13333333333333333,0.06666666666666667,0.03333333333333333
stratified_qa90,retrieve_more_risk_control@suff_abstain15,answer_retrieve_more_abstain,20,90,0.4888888888888889,44,0.5227272727272727,0.65995670995671,0.7727272727272727,0.8181818181818182,17,6,4,4,0.09090909090909091,0.03333333333333333,0.03333333333333333,0.0
stratified_qa90,retrieve_more@cov85,answer_retrieve_more_abstain,20,90,0.7666666666666667,69,0.4492753623188406,0.5887163561076605,0.7246376811594203,0.7681159420289855,28,9,6,6,0.08695652173913043,0.16666666666666666,0.06666666666666667,0.03333333333333333
