selection_key,case_type,original_id,question,gold_answer,label_top5,label_topk,risk_top5,risk_topk,retrieved_more,answered,top5_titles,topk_new_titles,missing_support_top5,missing_support_topk
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a71231a5542994082a3e5c4,"What edible, juicy fruit is grown on a deciduous tree called 'pesco' in Italian?",peach,insufficient,insufficient,0.7346277523492053,0.7346277523492053,0,0,Peach || Deciduous || Tree || Kunlun Mountains || Native plant,,pesco,pesco
top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a7125b95542994082a3e5d5,"Which town has a greater population as of the 2010 census, Minden, Nevada or Gardnerville, Nevada?",Gardnerville,sufficient,sufficient,0.6334215757221728,0.6334215757221728,0,0,"Gardnerville, Nevada || Minden, Nevada || Douglas County, Nevada || Nevada || Unincorporated towns in Nevada",,,
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a713a5a5542994082a3e6a9,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,insufficient,insufficient,0.7853714984323964,0.7853714984323964,0,0,"Old Trafford, Greater Manchester || Trafford || Greater Manchester || Manchester city centre || Stretford",,manchester united f.c. in european football,manchester united f.c. in european football
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a713b325542994082a3e6b5,What was the capital of India when the Taj Mahal was commissioned?,Agra,insufficient,insufficient,0.9219131837189125,0.9219131837189125,0,0,"Origins and architecture of the Taj Mahal || Taj Mahal (disambiguation) || The Taj Mahal Palace Hotel || Taj Mahal (palace) || Taj Mahal Hotel, Abids",,agra fort || taj mahal,agra fort || taj mahal
top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a713dcb5542994082a3e6d9,What pursuit did both Gevork Minaskanian and George Stambolian have in common?,"American educator, writer,",sufficient,sufficient,0.4505258070158951,0.4505258070158951,0,0,Gevork Minaskanian || George Stambolian || United States Patent and Trademark Office || Aderis Pharmaceuticals || Dopamine,,,
top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a713f395542994082a3e6ea,Where does the state legislature in which John Coffin Talbot served convene?,the State House in Augusta,sufficient,sufficient,0.4601960413997475,0.4601960413997475,0,0,John C. Talbot || List of Presidents of the Maine Senate || Maine Legislature || Maine || Maine Democratic Party,,,
top5/logistic_regression/v3_all/platt::balanced,false_answer,5a71474b5542994082a3e74f,What was triggered by the resignation of Conservative MP Stephen Phillips on 4 November 2016 and was when Caroline Johnson became a Member of Parliament?,The Sleaford and North Hykeham by-election,insufficient,insufficient,0.3539800406180506,0.3539800406180506,0,1,Stephen Phillips (politician) || Caroline Johnson || Member of parliament || Sleaford and North Hykeham (UK Parliament constituency) || Conservative Party (UK),,"sleaford and north hykeham by-election, 2016","sleaford and north hykeham by-election, 2016"
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a714b645542994082a3e78b,What year did Lindsey Broad star in the movie with Russell Brand and Jonah Hill?,2010,insufficient,insufficient,0.9224667046326085,0.9224667046326085,0,0,Jonah Hill filmography || Lindsey Russell || List of awards and nominations received by Jonah Hill || Get Him to the Greek || 2012 MTV Movie Awards,,lindsey broad,lindsey broad
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7153d05542994082a3e7dc,"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",Nusretiye Mosque,insufficient,insufficient,0.75127759483064,0.75127759483064,0,0,Nusretiye Mosque || Baroque architecture || Islamic architecture || Istanbul || Mosque,,bayezid ii mosque,bayezid ii mosque
top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a71646e5542994082a3e80e,What is the proper name for the steroid used by the retired British track sprinter who is one of the fastest European sprinters in the history of athletics?,Tetrahydrogestrinone,sufficient,sufficient,0.5211291857018945,0.5211291857018945,0,0,Dwain Chambers || Track and field || 60 metres || Sprint (running) || Tetrahydrogestrinone,,,
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a721a7655429971e9dc9271,What actor from the show Murphy Brown also had a role in a show with fellow actor Steve Howey? ,Christopher Rich,insufficient,insufficient,0.6561239032327145,0.6561239032327145,0,0,Steve Howey (actor) || Actor || Bride Wars || Reba (TV series) || Shameless (U.S. TV series),,christopher rich (actor) || reba (season 1),christopher rich (actor) || reba (season 1)
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a721e0e55429971e9dc928d,which university was founded first Duke University or Tufts University?,Duke University,insufficient,insufficient,0.9373061008269622,0.9373061008269622,0,0,Experimental College (Tufts University) || Tufts University School of Dental Medicine || Tufts University || The Tufts Observer || History of Tufts University,,duke university,duke university
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a722c2255429971e9dc932c,"What type of development, currently existing in Pasay, is currently being considered for malls such as one in M.A. Roxas Avenue in Clark Freeport, Angeles City in Pampanga Philippines?",SM Lifestyle Cities,insufficient,insufficient,0.8541800762439073,0.8541800762439073,0,0,"SM City Clark || Clark Freeport Zone || SM City Pampanga || Mexico, Pampanga || Pampanga",,sm lifestyle city,sm lifestyle city
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7263e05542997f82783998,What medieval fortress is believed to refer to a chapel at the bottom of a hill?,Bonkyll Castle,insufficient,insufficient,0.680188902591172,0.680188902591172,0,0,Buncle || Devingrad (fortress) || Gori Fortress || Trapezitsa (fortress) || Chapel Hill Independent School District,,bonkyll castle,bonkyll castle
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7264ed5542990c210a411a,What was the slogan  that came about from the idea of Lebensraum which had its most extreme form supported by the Nazi Party until the end of World War II?,Blood and soil,insufficient,insufficient,0.5661816261453573,0.5661816261453573,0,0,Lebensraum || World War II || Nazi Party || World War I || Nazi Germany,,blood and soil,blood and soil
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72688c5542997f827839b2,The Atik Valide Mosque and Valens Aqueduct are found in what country?,Turkey,insufficient,insufficient,0.6854006559169211,0.6854006559169211,0,0,Atik Valide Mosque || Mosque || Istanbul || Ottoman Empire || Turkey,,valens aqueduct,valens aqueduct
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72830e5542994cef4bc2f9,"Where is the company that distributed XXXTentacion's single ""Revenge"" based?","San Francisco, California",insufficient,insufficient,0.8395554841216268,0.8395554841216268,0,0,Revenge (XXXTentacion album) || Revenge (song) || Look at Me (XXXTentacion song) || XXXTentacion || Billboard Hot 100,,empire distribution,empire distribution
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a728b1c5542992359bc30e0,"Which member of the boy group Shinee released their first studio album ""She is""?",Jonghyun,insufficient,insufficient,0.9101377990762568,0.9101377990762568,0,0,Breaking News (Shinee song) || Lucifer (Shinee album) || Five (Shinee album) || The Shinee World || List of songs recorded by Shinee,,kim jong-hyun (singer) || she is,kim jong-hyun (singer) || she is
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a728f745542991f9a20c4e6,"Which magazine was founded first, Diva or Elle?",Elle,insufficient,insufficient,0.8673287693561555,0.8673287693561555,0,0,Elle (magazine) || Lifestyle magazine || Fashion || France || Hélène Gordon-Lazareff,,diva (magazine),diva (magazine)
top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a728fbd5542992359bc30f8,Who was convicted of murdering the director of Schoolboy Crush?,Harlow Cuadra and Joseph Kerekes,sufficient,sufficient,0.7146772846560675,0.7146772846560675,0,0,Schoolboy Crush (film) || Brent Everett || Bryan Kocis || Cobra Video || Sean Paul Lockhart,,,
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7294b65542991f9a20c509,What is the name of the umcoming horror film adaptation starring Melanie Griffiths daughter?,Suspiria,insufficient,insufficient,0.7678786714482948,0.7678786714482948,0,0,Shining Through (disambiguation) || Melanie Tem || Shining Through || Melanie Blatt || Melanie (film),,dakota johnson || suspiria (upcoming film),dakota johnson || suspiria (upcoming film)
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72953b5542994cef4bc357,What Labor member of the House of Representatives in the Australian Parliament was a member of the Australian Labor Party Australian Young Labor?,Tony Burke,insufficient,insufficient,0.8734209548664653,0.8734209548664653,0,0,Mick Young || Andrew Lacey || Peter Khalil || Moses Gabb || Janice Crosio,,australian young labor || tony burke,australian young labor || tony burke
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a7299e75542991f9a20c524,"What movie was released at a later date, My Dog Tulip or Monsters vs. Aliens?",Monsters vs. Aliens,insufficient,insufficient,0.9336200144406945,0.9336200144406945,0,0,List of Monsters vs. Aliens characters || Monsters vs. Aliens (video game) || Monsters vs. Aliens (disambiguation) || Monsters vs. Aliens || Monsters vs. Aliens: Mutant Pumpkins from Outer Space,,my dog tulip,my dog tulip
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a729cc25542991f9a20c532,Which author wrote about a woman captured by the Symbionese Liberation Army?,Paul Avery,insufficient,insufficient,0.7912513920678842,0.7912513920678842,0,0,Symbionese Liberation Army || Murder || Vanguardism || Patricia Soltysik || American Woman (novel),,patty hearst || paul avery,patty hearst || paul avery
top5/logistic_regression/v3_all/platt::balanced,false_answer,5a72a3c45542994cef4bc3ac,"What is the birth name of the woman that ""A Woman Called Moses"" is based on?",Araminta Ross,insufficient,insufficient,0.35970437604173283,0.35970437604173283,0,1,"A Woman Called Moses || Harriet, the Woman Called Moses || Slavery in the United States || Canada || Cicely Tyson",,harriet tubman,harriet tubman
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72a9145542994cef4bc3c1,Which player signed to Bayern Munich before the 2012-2013 season was known mostly as a central defender?,Dante,insufficient,insufficient,0.9366074756667169,0.9366074756667169,0,0,2012–13 FC Bayern Munich season || 2013–14 FC Bayern Munich season || 1993–94 FC Bayern Munich season || 1995–96 FC Bayern Munich season || 2015–16 FC Bayern Munich season,,dante (footballer),dante (footballer)
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72abb95542992359bc3162,Which film was not a 3D computer-animation Cars 3 or Smith!?,Smith!,insufficient,insufficient,0.9269360475993643,0.9269360475993643,0,0,Pumpkin 3D || David A. Smith (computer scientist) || List of 3D rendering software || Mixamo || Computer animation,,cars 3 || smith!,cars 3 || smith!
top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a72dcb45542992359bc31af,What company did Rex Maughan aquire?,Aloe Vera of America,sufficient,sufficient,0.7231748449677919,0.7231748449677919,0,0,Rex Maughan || Forever Living Products || Multi-level marketing || Maughan (surname) || Sharon Maughan,,,
top5/logistic_regression/v3_all/platt::balanced,false_answer,5a72f1cf5542994cef4bc414,Which English actor starred in the 1995 american romantic drama film The Scarlet Letter alongside Demi Moore and Robert Duvall?,Gary Oldman,insufficient,insufficient,0.20806712125407478,0.20806712125407478,0,1,The Scarlet Letter (1995 film) || The Scarlet Letter || Demi Moore || Robert Duvall || Film adaptation,,gary oldman,gary oldman
top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a72f74a55429901807daf59,"Which American comedian born on March 21, 1962, appeared in the movie ""Sleepless in Seattle?""",Rosie O'Donnell,insufficient,insufficient,0.7267479562839698,0.7267479562839698,0,0,Sleepless in Seattle || Sleepless Nights (2002 film) || Century 21 Exposition || Kathy Greenwood || Bill Pullman,,rosie o'donnell,rosie o'donnell
