method_name,policy,tau_answer,case_type,taxonomy,id,original_id,question,gold_answer,sufficiency_label,risk_score,decision,audit_support_title_coverage,audit_gold_answer_in_top5,query_token_coverage_union,title_token_coverage_union,embedding_top1_share,top5_titles
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a7137dc5542994082a3e68a__official_intro_bm25_top5,5a7137dc5542994082a3e68a,Kevin Wayne Durant was named what ?(An Award initiated following 1952-53 NBA Season?,The National Basketball Association's Rookie of the Year,sufficient,0.0,answer,1.0,1.0,0.9285714285714286,0.5714285714285714,0.21713675914920771,1952–53 Fort Wayne Pistons season || NBA Rookie of the Year Award || Kevin Durant || 1952–53 NBA season || 1952–53 Syracuse Nationals season
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a716f575542994082a3e82f__official_intro_bm25_top5,5a716f575542994082a3e82f,Was it  Ishmael Reed or Joseph Campbell who said Follow your bliss?,Joseph John Campbell,sufficient,0.0,answer,1.0,1.0,0.9166666666666666,0.5833333333333334,0.2230711548154648,Joseph Campbell || Follow Your Bliss: The Best of Senses Fail || Ishmael Reed || Bliss (Nikki Webster album) || A Dot of Black in the Blue of Your Bliss
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a738225554299623ed4abc3__official_intro_bm25_top5,5a738225554299623ed4abc3,"Which musical fantasy film is older, Bedknobs and Broomsticks or The Muppet Christmas Carol?",Bedknobs and Broomsticks,sufficient,0.0,answer,1.0,1.0,0.9285714285714286,0.5,0.2540733883358849,The Muppet Christmas Carol || Bedknobs and Broomsticks || A Step in the Right Direction || Rizzo the Rat || An American Christmas Carol
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a74f5155542993748c89750__official_intro_bm25_top5,5a74f5155542993748c89750,"What mine was operated by Royal Oak Mines at at earlier date, Kemess Mine or Colomac Mine?",The Colomac Mine,sufficient,0.0,answer,1.0,1.0,0.7142857142857143,0.42857142857142855,0.2723268762052622,Colomac Mine || Kemess Mine || Colomac Airport || Kemess Creek Airport || Royal Oak Mines
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a7521c55542993748c897c6__official_intro_bm25_top5,5a7521c55542993748c897c6,Temagami-Lorrain Mine and Burwash Mine were both mines created during the early 1900s; which one yielded a 16-ton bulk sample of gold ore in 1935?,Burwash Mine,sufficient,0.0,answer,1.0,1.0,0.8076923076923077,0.15384615384615385,0.26704382973406804,Burwash Mine || Temagami-Lorrain Mine || Barton Mine || Priest Mine || Leckie Mine
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a75441c55429916b01642cf__official_intro_bm25_top5,5a75441c55429916b01642cf,"Which building will have more floors, 15 Penn Plaza, or 247 Cherry?",247 Cherry,sufficient,0.0,answer,1.0,1.0,0.8333333333333334,0.4166666666666667,0.23512759417611218,15 Penn Plaza || 247 Cherry || Plaza Towers || Premium Plaza || One Penn Plaza
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a7568175542992d0ec05f88__official_intro_bm25_top5,5a7568175542992d0ec05f88,This French comedy directed by Philippe de Chauveron starred actress Julia Piaton. ,Serial,sufficient,0.0,answer,1.0,1.0,0.9166666666666666,0.4166666666666667,0.2435567942058917,Julia Piaton || Philippe de Chauveron || Serial (Bad) Weddings || L'Élève Ducobu (film) || Babysitting (film)
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a75da235542992db94736f9__official_intro_bm25_top5,5a75da235542992db94736f9,"One of the signatories of the Chicago Statement on Biblical Inerrancy was which Presbyterian pastor, known for taking a more presuppositional approach to apologetics?",Francis Schaeffer,sufficient,0.0,answer,1.0,1.0,0.9090909090909091,0.3181818181818182,0.2532254115928922,Chicago Statement on Biblical Inerrancy || Biblical inerrancy || Francis Schaeffer || Presuppositional apologetics || Southwestern Baptist Theological Seminary
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a79fc8b5542994f819ef114__official_intro_bm25_top5,5a79fc8b5542994f819ef114,Rimo I and Passu Sar are both part of which mountain range?,Karakoram mountain range,sufficient,0.0,answer,1.0,1.0,0.9166666666666666,0.3333333333333333,0.2723687525352659,Passu Sar || Rimo I || Rimo || Aq Tash || Mingli Sar
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,0.6,safe_answer,safe_answer,5a7a83b3554299042af8f652__official_intro_bm25_top5,5a7a83b3554299042af8f652,"WHAT WAS THE NAME OF THE BOOK MADE INTO THE 2015 SOUTH KOREAN CRIME THRILLER, THE DEAL, DIRECTED BY SON YONG-HO AND FEATURING SOUTH KOREAN ACTOR PARK SUNG-WOONG (BORN JANUARY 9, 1973) AS A SERIAL KILLER?","""Murder Request""",sufficient,0.0,answer,1.0,1.0,0.8484848484848485,0.30303030303030304,0.2726502047284543,Park Sung-woong || The Deal (2015 film) || Remember: War of the Son || Rainbow Eyes || Office (2015 South Korean film)
