reranker_label,reranker_variant_id,selection_key,case_type,original_id,question,gold_answer,label_top5,label_topk,risk_top5,risk_topk,retrieved_more,answered,top5_titles,topk_new_titles,missing_support_top5,missing_support_topk
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a713a5a5542994082a3e6a9,What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United,insufficient,insufficient,0.39723825714409255,0.39723825714409255,0,1,"Old Trafford, Greater Manchester || Old Trafford || Gorse Hill || Manchester United F.C. || Stretford",,manchester united f c in european football,manchester united f c in european football
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a713b325542994082a3e6b5,What was the capital of India when the Taj Mahal was commissioned?,Agra,insufficient,insufficient,0.6980118552450186,0.6980118552450186,0,0,Origins and architecture of the Taj Mahal || Taj Mahal || Taj Mahal (palace) || Taj Mahal Bangladesh || The Taj Mahal Palace Hotel,,agra fort,agra fort
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a714b645542994082a3e78b,What year did Lindsey Broad star in the movie with Russell Brand and Jonah Hill?,2010,sufficient,sufficient,0.49380204803323663,0.49380204803323663,0,0,Lindsey Broad || Get Him to the Greek || Lindsey Russell || Russell Brand || Jonah Hill,,,
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a71646e5542994082a3e80e,What is the proper name for the steroid used by the retired British track sprinter who is one of the fastest European sprinters in the history of athletics?,Tetrahydrogestrinone,insufficient,insufficient,0.2571782566762916,0.2571782566762916,0,1,Dwain Chambers || 60 metres || Track and field || Sprint (running) || Michael Johnson (sprinter),,tetrahydrogestrinone,tetrahydrogestrinone
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a721a7655429971e9dc9271,What actor from the show Murphy Brown also had a role in a show with fellow actor Steve Howey? ,Christopher Rich,insufficient,insufficient,0.6622498751471152,0.6622498751471152,0,0,Steve Howey (actor) || Bride Wars || Supercross (film) || Steve Howey (footballer) || Actor,,christopher rich actor || reba season 1,christopher rich actor || reba season 1
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a721e0e55429971e9dc928d,which university was founded first Duke University or Tufts University?,Duke University,insufficient,insufficient,0.9129986785386741,0.9129986785386741,0,0,Tufts University || History of Tufts University || Experimental College (Tufts University) || Tufts University School of Dental Medicine || Tufts University Libraries,,duke university,duke university
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a722c2255429971e9dc932c,"What type of development, currently existing in Pasay, is currently being considered for malls such as one in M.A. Roxas Avenue in Clark Freeport, Angeles City in Pampanga Philippines?",SM Lifestyle Cities,insufficient,insufficient,0.3273546023238348,0.3273546023238348,0,1,"SM City Clark || Clark Freeport Zone || SM City Pampanga || San Fernando, Pampanga || Mexico, Pampanga",,sm lifestyle city,sm lifestyle city
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,false_answer,5a7264ed5542990c210a411a,What was the slogan  that came about from the idea of Lebensraum which had its most extreme form supported by the Nazi Party until the end of World War II?,Blood and soil,insufficient,insufficient,0.2482718776005087,0.2482718776005087,0,1,Lebensraum || Nazi Germany || German Empire || Betriebsobmann || World War I,,blood and soil,blood and soil
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,successful_intercept,5a728b1c5542992359bc30e0,"Which member of the boy group Shinee released their first studio album ""She is""?",Jonghyun,insufficient,insufficient,0.8140204321110736,0.8140204321110736,0,0,Breaking News (Shinee song) || The Shinee World || 1 of 1 (album) || I'm Your Boy || The First (album),,kim jong hyun singer || she is,kim jong hyun singer || she is
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt::balanced,over_abstain,5a728f745542991f9a20c4e6,"Which magazine was founded first, Diva or Elle?",Elle,sufficient,sufficient,0.6502531527925823,0.6502531527925823,0,0,Elle (magazine) || Hélène Gordon-Lazareff || Lifestyle magazine || Diva (magazine) || Elle Girl,,,
