original_id,question_type,difficulty,question,gold_answer,support_title_count,support_titles,support_titles_in_intro_count,support_titles_missing_intro_count,support_titles_missing_intro,all_support_present_in_intro,support_title_coverage_in_intro
5a8b57f25542995d1e6f1371,comparison,hard,Were Scott Derrickson and Ed Wood of the same nationality?,yes,2,ed wood || scott derrickson,2,0,,1,1.0
5a8c7595554299585d9e36b6,bridge,hard,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,2,kiss and tell (1945 film) || shirley temple,2,0,,1,1.0
5a85ea095542994775f606a8,bridge,hard,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",Animorphs,2,animorphs || the hork-bajir chronicles,2,0,,1,1.0
5adbf0a255429947ff17385a,comparison,hard,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,no,2,esma sultan mansion || laleli mosque,2,0,,1,1.0
5a8e3ea95542995a26add48d,bridge,hard,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",2,adriana trigiani || big stone gap (film),2,0,,1,1.0
5abd94525542992ac4f382d2,bridge,hard,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,2,2014 s/s || winner (band),2,0,,1,1.0
5a85b2d95542997b5ce40028,bridge,hard,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,2,eenasul fateh || management consulting,2,0,,1,1.0
5a87ab905542996e4f3088c1,bridge,hard,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"3,677 seated",2,androscoggin bank colisée || lewiston maineiacs,2,0,,1,1.0
5a7bbb64554299042af8f7cc,bridge,hard,"Who is older, Annie Morton or Terry Richardson?",Terry Richardson,2,annie morton || terry richardson,2,0,,1,1.0
5a8db19d5542994ba4e3dd00,comparison,hard,Are Local H and For Against both from the United States?,yes,2,for against || local h,2,0,,1,1.0
5a7166395542994082a3e814,bridge,hard,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,2,kansas song || university of kansas,2,0,,1,1.0
5a877e5d5542993e715abf7d,bridge,hard,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,2,david weissman || the family man,2,0,,1,1.0
5ab3b0bf5542992ade7c6e39,bridge,hard,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,2,end of days (film) || oh my god (guns n' roses song),2,0,,1,1.0
5ab56e32554299637185c594,comparison,hard,Are Random House Tower and 888 7th Avenue both used for real estate?,no,2,888 7th avenue || random house tower,2,0,,1,1.0
5ab6d09255429954757d337d,bridge,hard,The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,2,1995–96 manchester united f.c. season || alex ferguson,2,0,,1,1.0
5a75e05c55429976ec32bc5f,bridge,hard,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",2,"brown county, kansas || brown state fishing lake",2,0,,1,1.0
